"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sensor",,,,"User:","root"
"Cmdline:","dstat -t --cpu --mem --fs -d --disk-tps -n --tcp --socket -y -p -N eth0 --output 2022-08-29-08-20-00-log.csv 1 360",,,,"Date:","29 Aug 2022 08:20:00 CEST"

"system","total cpu usage",,,,,,"memory usage",,,,"filesystem",,"dsk/total",,"dsk/total",,"net/eth0",,"tcp sockets",,,,,"sockets",,,,,"system",,"procs",,
29-08 08:20:13,3.235,24.798,71.968,0.0,0.0,0.0,127287296.0,20099072.0,262701056.0,3604176896.0,2048.0,16981.0,0.0,0.0,0.0,0.0,1182.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43282.0,127885.0,2.0,0.0,5.0
29-08 08:20:14,1.529,16.514,81.957,0.0,0.0,0.0,127381504.0,20099072.0,262701056.0,3604082688.0,2048.0,16981.0,0.0,0.0,0.0,0.0,1188.0,20857.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43646.0,127995.0,3.0,0.0,5.0
29-08 08:20:15,1.791,18.209,80.0,0.0,0.0,0.0,127627264.0,20099072.0,262713344.0,3603824640.0,2048.0,16981.0,0.0,0.0,0.0,0.0,1408.0,18979.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43851.0,127876.0,4.0,0.0,5.0
29-08 08:20:16,1.223,18.043,80.734,0.0,0.0,0.0,127115264.0,20099072.0,262717440.0,3604332544.0,2048.0,16989.0,0.0,0.0,0.0,0.0,1200.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43279.0,126920.0,5.0,0.0,10.0
29-08 08:20:17,2.174,16.149,81.677,0.0,0.0,0.0,127139840.0,20107264.0,262717440.0,3604299776.0,2048.0,16986.0,0.0,32768.0,0.0,4.0,1314.0,19892.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43166.0,125529.0,5.0,0.0,5.0
29-08 08:20:18,2.247,18.820,78.933,0.0,0.0,0.0,127262720.0,20107264.0,262721536.0,3604172800.0,2048.0,16986.0,0.0,0.0,0.0,0.0,1188.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,32828.0,114927.0,3.0,0.0,5.0
29-08 08:20:19,7.143,18.750,73.810,0.0,0.0,0.298,127746048.0,20107264.0,262721536.0,3603689472.0,2112.0,16983.0,0.0,0.0,0.0,0.0,1351.0,19892.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,38922.0,121527.0,3.0,0.0,13.0
29-08 08:20:20,3.401,13.265,83.333,0.0,0.0,0.0,127647744.0,20107264.0,262721536.0,3603787776.0,2080.0,16983.0,0.0,0.0,0.0,0.0,1254.0,19892.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58065.0,142287.0,3.0,0.0,5.0
29-08 08:20:21,1.227,23.620,75.153,0.0,0.0,0.0,127356928.0,20107264.0,262721536.0,3604078592.0,2080.0,16983.0,0.0,0.0,0.0,0.0,1248.0,18861.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,57941.0,142246.0,2.0,0.0,5.0
29-08 08:20:22,10.180,25.749,64.072,0.0,0.0,0.0,128225280.0,20115456.0,262725632.0,3603197952.0,2048.0,16986.0,0.0,32768.0,0.0,4.0,1376.0,19291.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,52163.0,134266.0,4.0,0.0,10.0
29-08 08:20:23,1.818,16.970,81.212,0.0,0.0,0.0,127897600.0,20115456.0,262729728.0,3603521536.0,2080.0,16984.0,0.0,0.0,0.0,0.0,1404.0,20947.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43731.0,125729.0,5.0,0.0,9.0
29-08 08:20:24,1.445,20.809,77.746,0.0,0.0,0.0,127864832.0,20115456.0,262729728.0,3603554304.0,2112.0,16984.0,0.0,0.0,0.0,0.0,1272.0,18927.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43926.0,126215.0,5.0,0.0,9.0
29-08 08:20:25,2.679,17.560,79.762,0.0,0.0,0.0,127930368.0,20115456.0,262729728.0,3603488768.0,2112.0,16984.0,0.0,0.0,0.0,0.0,1338.0,20947.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43811.0,125991.0,4.0,0.0,9.0
29-08 08:20:26,2.065,19.469,78.466,0.0,0.0,0.0,128126976.0,20115456.0,262733824.0,3603288064.0,2080.0,16988.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43619.0,125562.0,5.0,0.0,10.0
29-08 08:20:27,2.326,19.477,77.907,0.291,0.0,0.0,127893504.0,20123648.0,262733824.0,3603513344.0,2080.0,16988.0,0.0,32768.0,0.0,4.0,1481.0,20092.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43933.0,126309.0,4.0,0.0,5.0
29-08 08:20:28,2.319,19.420,78.261,0.0,0.0,0.0,127860736.0,20123648.0,262733824.0,3603546112.0,2080.0,16988.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43745.0,125903.0,4.0,0.0,5.0
29-08 08:20:29,8.772,20.175,70.760,0.0,0.0,0.292,128503808.0,20127744.0,262746112.0,3602886656.0,2112.0,16984.0,8192.0,8192.0,2.0,2.0,1435.0,20017.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,42576.0,122888.0,5.0,0.0,17.0
29-08 08:20:30,2.065,18.879,79.056,0.0,0.0,0.0,128851968.0,20127744.0,262746112.0,3602538496.0,2112.0,16984.0,0.0,0.0,0.0,0.0,1278.0,20947.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43671.0,125587.0,5.0,0.0,9.0
29-08 08:20:31,1.786,16.964,81.250,0.0,0.0,0.0,128520192.0,20127744.0,262746112.0,3602870272.0,2112.0,16984.0,0.0,0.0,0.0,0.0,1428.0,18975.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,37500.0,119218.0,4.0,0.0,13.0
29-08 08:20:32,1.802,18.018,80.180,0.0,0.0,0.0,128479232.0,20135936.0,262746112.0,3602903040.0,2080.0,16984.0,0.0,49152.0,0.0,4.0,1122.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,44153.0,127440.0,4.0,0.0,5.0
29-08 08:20:33,4.673,14.330,80.997,0.0,0.0,0.0,125640704.0,20135936.0,262750208.0,3605737472.0,2080.0,16965.0,0.0,0.0,0.0,0.0,1182.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43744.0,127309.0,5.0,0.0,5.0
29-08 08:20:34,8.529,21.471,69.706,0.0,0.0,0.294,127422464.0,20148224.0,262778880.0,3603914752.0,2080.0,16981.0,24576.0,172032.0,6.0,18.0,1278.0,19916.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43128.0,126540.0,1.0,0.0,12.0
29-08 08:20:35,1.613,17.742,80.645,0.0,0.0,0.0,127287296.0,20148224.0,262782976.0,3604045824.0,2080.0,16981.0,0.0,0.0,0.0,0.0,1248.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58647.0,143381.0,2.0,0.0,5.0
29-08 08:20:36,1.250,21.562,77.188,0.0,0.0,0.0,127651840.0,20148224.0,262782976.0,3603681280.0,2048.0,16982.0,0.0,0.0,0.0,0.0,1278.0,20947.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58861.0,143506.0,5.0,0.0,18.0
29-08 08:20:37,3.134,23.647,72.934,0.285,0.0,0.0,127524864.0,20156416.0,262787072.0,3603795968.0,1984.0,16982.0,0.0,57344.0,0.0,4.0,1448.0,18927.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,59448.0,145108.0,3.0,0.0,5.0
29-08 08:20:38,2.013,11.409,86.577,0.0,0.0,0.0,127455232.0,20156416.0,262787072.0,3603865600.0,1952.0,16982.0,0.0,0.0,0.0,0.0,1122.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,59594.0,145485.0,1.0,0.0,5.0
29-08 08:20:39,8.182,17.879,73.939,0.0,0.0,0.0,128839680.0,20156416.0,262787072.0,3602481152.0,1920.0,16979.0,0.0,0.0,0.0,0.0,1050.0,15702.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,54180.0,137138.0,3.0,0.0,13.0
29-08 08:20:40,1.749,12.828,85.423,0.0,0.0,0.0,128544768.0,20156416.0,262787072.0,3602776064.0,1856.0,16979.0,0.0,0.0,0.0,0.0,1254.0,20857.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,45185.0,134728.0,0.0,0.0,5.0
29-08 08:20:41,1.882,15.323,82.796,0.0,0.0,0.0,128393216.0,20156416.0,262791168.0,3602923520.0,1824.0,16979.0,0.0,0.0,0.0,0.0,1417.0,19958.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,32339.0,120459.0,4.0,0.0,5.0
29-08 08:20:42,1.445,13.295,84.971,0.0,0.0,0.289,128352256.0,20164608.0,262791168.0,3602956288.0,1760.0,16982.0,0.0,32768.0,0.0,4.0,1502.0,20363.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,47366.0,136574.0,1.0,0.0,8.0
29-08 08:20:43,5.413,20.513,74.074,0.0,0.0,0.0,127684608.0,20164608.0,262791168.0,3603623936.0,2048.0,16978.0,0.0,0.0,0.0,0.0,3515.0,21116.0,9.0,10.0,0.0,2.0,0.0,178.0,16.0,12.0,0.0,0.0,58259.0,146478.0,4.0,0.0,27.0
29-08 08:20:44,2.769,16.923,80.308,0.0,0.0,0.0,127905792.0,20164608.0,262795264.0,3603398656.0,2080.0,16979.0,0.0,24576.0,0.0,2.0,1188.0,20857.0,9.0,10.0,0.0,2.0,0.0,178.0,16.0,12.0,0.0,0.0,43106.0,126256.0,5.0,0.0,4.0
29-08 08:20:45,10.736,18.712,70.552,0.0,0.0,0.0,127676416.0,20164608.0,262799360.0,3603623936.0,2048.0,16975.0,0.0,0.0,0.0,0.0,1182.0,18795.0,9.0,10.0,0.0,2.0,0.0,178.0,16.0,12.0,0.0,0.0,45485.0,128081.0,3.0,0.0,3.0
29-08 08:20:46,1.475,20.649,77.876,0.0,0.0,0.0,128061440.0,20164608.0,262799360.0,3603238912.0,2080.0,16988.0,0.0,0.0,0.0,0.0,1188.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43718.0,127736.0,4.0,0.0,10.0
29-08 08:20:47,3.040,22.188,74.468,0.304,0.0,0.0,128053248.0,20172800.0,262799360.0,3603238912.0,2080.0,16985.0,0.0,49152.0,0.0,4.0,1415.0,20092.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58055.0,142468.0,2.0,0.0,5.0
29-08 08:20:48,3.916,21.988,74.096,0.0,0.0,0.0,128049152.0,20172800.0,262803456.0,3603238912.0,2080.0,16985.0,0.0,0.0,0.0,0.0,1188.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58171.0,142582.0,1.0,0.0,5.0
29-08 08:20:49,7.077,21.538,71.385,0.0,0.0,0.0,128745472.0,20172800.0,262803456.0,3602542592.0,2112.0,16981.0,0.0,0.0,0.0,0.0,1213.0,16834.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,52628.0,130732.0,5.0,0.0,13.0
29-08 08:20:50,1.366,25.956,72.678,0.0,0.0,0.0,128565248.0,20172800.0,262803456.0,3602722816.0,2080.0,16981.0,0.0,0.0,0.0,0.0,1254.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,42694.0,125182.0,6.0,0.0,5.0
29-08 08:20:51,0.893,19.048,80.060,0.0,0.0,0.0,128552960.0,20172800.0,262807552.0,3602731008.0,2080.0,16981.0,0.0,0.0,0.0,0.0,1248.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43335.0,127096.0,5.0,0.0,5.0
29-08 08:20:52,3.614,22.590,73.795,0.0,0.0,0.0,128286720.0,20180992.0,262807552.0,3602989056.0,2080.0,16981.0,0.0,32768.0,0.0,4.0,1122.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58115.0,142696.0,3.0,0.0,5.0
29-08 08:20:53,1.974,17.434,80.592,0.0,0.0,0.0,128286720.0,20180992.0,262807552.0,3602989056.0,2080.0,16981.0,0.0,0.0,0.0,0.0,1248.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58157.0,142959.0,4.0,0.0,5.0
29-08 08:20:54,2.090,25.672,72.239,0.0,0.0,0.0,128249856.0,20180992.0,262811648.0,3603021824.0,2080.0,16981.0,0.0,0.0,0.0,0.0,1188.0,20857.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,57671.0,141694.0,1.0,0.0,5.0
29-08 08:20:55,1.311,19.016,79.672,0.0,0.0,0.0,128245760.0,20180992.0,262815744.0,3603021824.0,2080.0,16981.0,0.0,0.0,0.0,0.0,1248.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,57724.0,141958.0,2.0,0.0,5.0
29-08 08:20:56,9.804,20.588,69.608,0.0,0.0,0.0,127664128.0,20180992.0,262819840.0,3603599360.0,2048.0,16985.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,53245.0,136037.0,4.0,0.0,12.0
29-08 08:20:57,2.679,18.750,77.976,0.595,0.0,0.0,128008192.0,20189184.0,262819840.0,3603247104.0,2048.0,16982.0,0.0,32768.0,0.0,4.0,1248.0,20315.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43312.0,126530.0,6.0,0.0,5.0
29-08 08:20:58,1.972,22.817,75.211,0.0,0.0,0.0,128233472.0,20189184.0,262819840.0,3603021824.0,2048.0,16982.0,0.0,0.0,0.0,0.0,1320.0,19469.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43768.0,127956.0,2.0,0.0,5.0
29-08 08:20:59,7.386,23.011,69.602,0.0,0.0,0.0,128487424.0,20189184.0,262823936.0,3602763776.0,2080.0,16979.0,0.0,0.0,0.0,0.0,1248.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,50529.0,125744.0,4.0,0.0,13.0
29-08 08:21:00,2.410,22.289,75.301,0.0,0.0,0.0,128487424.0,20189184.0,262823936.0,3602763776.0,2080.0,16979.0,0.0,0.0,0.0,0.0,1320.0,20857.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58866.0,144183.0,2.0,0.0,5.0
29-08 08:21:01,2.477,22.910,74.613,0.0,0.0,0.0,128520192.0,20189184.0,262823936.0,3602731008.0,2080.0,16979.0,0.0,0.0,0.0,0.0,1248.0,18861.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,57551.0,140850.0,3.0,0.0,5.0
29-08 08:21:02,3.922,17.320,78.431,0.327,0.0,0.0,128065536.0,20197376.0,262828032.0,3603173376.0,2080.0,16986.0,0.0,32768.0,0.0,4.0,1502.0,21465.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58192.0,142746.0,4.0,0.0,8.0
29-08 08:21:03,2.703,14.527,82.770,0.0,0.0,0.0,127991808.0,20197376.0,262828032.0,3603247104.0,2080.0,16984.0,0.0,0.0,0.0,0.0,1242.0,18837.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58025.0,142812.0,3.0,0.0,5.0
29-08 08:21:04,0.627,22.884,76.489,0.0,0.0,0.0,128217088.0,20197376.0,262828032.0,3603021824.0,2080.0,16984.0,0.0,0.0,0.0,0.0,1278.0,18885.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58096.0,142831.0,4.0,0.0,9.0
29-08 08:21:05,1.678,17.785,80.537,0.0,0.0,0.0,128249856.0,20197376.0,262828032.0,3602989056.0,2080.0,16984.0,0.0,40960.0,0.0,6.0,1182.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,57507.0,141342.0,3.0,0.0,5.0
29-08 08:21:06,2.736,20.973,76.292,0.0,0.0,0.0,128212992.0,20197376.0,262832128.0,3603021824.0,2112.0,16991.0,0.0,0.0,0.0,0.0,1188.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,50870.0,133609.0,4.0,0.0,10.0
29-08 08:21:07,2.647,16.765,80.588,0.0,0.0,0.0,126009344.0,20205568.0,262832128.0,3605217280.0,2048.0,16969.0,0.0,49152.0,0.0,4.0,1481.0,21123.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,37153.0,119948.0,7.0,0.0,5.0
29-08 08:21:08,8.116,19.710,72.174,0.0,0.0,0.0,128200704.0,20205568.0,262836224.0,3603021824.0,2048.0,16985.0,0.0,0.0,0.0,0.0,1190.0,16799.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,34764.0,117498.0,1.0,0.0,7.0
29-08 08:21:09,8.580,20.710,70.710,0.0,0.0,0.0,128589824.0,20205568.0,262840320.0,3602628608.0,2112.0,16981.0,0.0,0.0,0.0,0.0,1411.0,20958.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,42906.0,122828.0,5.0,0.0,13.0
29-08 08:21:10,1.458,20.408,78.134,0.0,0.0,0.0,128323584.0,20205568.0,262840320.0,3602894848.0,2080.0,16981.0,0.0,98304.0,0.0,6.0,1122.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43963.0,128192.0,3.0,0.0,5.0
29-08 08:21:11,1.220,17.073,81.707,0.0,0.0,0.0,128389120.0,20205568.0,262840320.0,3602829312.0,2080.0,16981.0,0.0,0.0,0.0,0.0,1551.0,18927.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43343.0,128311.0,5.0,0.0,5.0
29-08 08:21:12,1.290,16.129,82.581,0.0,0.0,0.0,128573440.0,20213760.0,262840320.0,3602636800.0,2080.0,16981.0,0.0,49152.0,0.0,4.0,1122.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,54350.0,139565.0,2.0,0.0,5.0
29-08 08:21:13,2.167,20.124,77.709,0.0,0.0,0.0,128565248.0,20213760.0,262848512.0,3602636800.0,2080.0,16981.0,0.0,0.0,0.0,0.0,1248.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58867.0,144155.0,4.0,0.0,5.0
29-08 08:21:14,2.933,23.754,73.314,0.0,0.0,0.0,128598016.0,20213760.0,262848512.0,3602604032.0,2080.0,16981.0,0.0,0.0,0.0,0.0,1322.0,20923.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58925.0,144219.0,2.0,0.0,5.0
29-08 08:21:15,2.432,21.277,76.292,0.0,0.0,0.0,128565248.0,20213760.0,262848512.0,3602636800.0,2080.0,16981.0,0.0,0.0,0.0,0.0,1342.0,18979.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58878.0,144177.0,1.0,0.0,5.0
29-08 08:21:16,2.424,22.727,74.848,0.0,0.0,0.0,128339968.0,20213760.0,262848512.0,3602862080.0,2080.0,16986.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58731.0,143863.0,3.0,0.0,10.0
29-08 08:21:17,1.515,22.424,75.758,0.303,0.0,0.0,128299008.0,20221952.0,262848512.0,3602894848.0,2080.0,16986.0,0.0,32768.0,0.0,4.0,1248.0,20857.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58971.0,144324.0,2.0,0.0,5.0
29-08 08:21:18,0.621,21.429,77.950,0.0,0.0,0.0,128176128.0,20221952.0,262852608.0,3603013632.0,2080.0,16986.0,0.0,0.0,0.0,0.0,1388.0,18927.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58850.0,144098.0,3.0,0.0,5.0
29-08 08:21:19,17.302,23.167,59.531,0.0,0.0,0.0,128520192.0,20221952.0,262856704.0,3602665472.0,2080.0,16981.0,0.0,0.0,0.0,0.0,1116.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,50087.0,125894.0,6.0,0.0,15.0
29-08 08:21:20,0.581,21.221,78.198,0.0,0.0,0.0,128450560.0,20221952.0,262856704.0,3602735104.0,2080.0,16981.0,0.0,32768.0,0.0,4.0,1188.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43859.0,127026.0,5.0,0.0,5.0
29-08 08:21:21,1.231,16.615,82.154,0.0,0.0,0.0,128446464.0,20221952.0,262860800.0,3602735104.0,2080.0,16981.0,0.0,0.0,0.0,0.0,1417.0,18927.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43690.0,127576.0,5.0,0.0,5.0
29-08 08:21:22,1.846,17.538,80.615,0.0,0.0,0.0,128544768.0,20230144.0,262860800.0,3602628608.0,2080.0,16984.0,0.0,49152.0,0.0,4.0,1508.0,21353.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,44083.0,127159.0,1.0,0.0,8.0
29-08 08:21:23,1.370,14.041,84.589,0.0,0.0,0.0,128438272.0,20230144.0,262860800.0,3602735104.0,2080.0,16984.0,0.0,0.0,0.0,0.0,1316.0,18861.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58318.0,143086.0,7.0,0.0,3.0
